frequency,LpA_,LPaB,delLpA,K1A,LpA,LWA
80.0,8.31664659672525,2.6951613230411557,5.621485273684094,1.3910146981422256,2.3750244233100783,13.7789105367875
100.0,11.056052624652725,4.925891270907751,6.130161353744974,1.213472607805348,5.291972541574431,16.69585865505185
125.0,18.440810555128593,10.497096907467222,7.943713647661371,0.760086714758026,13.130116365097622,24.534002478575044
160.0,20.091897754622742,11.468220749488477,8.623677005134265,0.6413411667731012,14.899949112576694,26.303835226054115
200.0,25.773856088286607,13.290911041235782,12.482945047050825,0.0,21.22324861301366,32.62713472649108
250.0,43.8267281133773,17.607794345213392,26.218933768163907,0.0,39.27612063810435,50.68000675158177
315.0,39.55274793397291,18.6729386241335,20.87980930983941,0.0,35.00214045869996,46.40602657217738
400.0,46.65834808647055,22.22026630174891,24.438081784721643,0.0,42.107740611197606,53.511626724675025
500.0,51.574094508837625,21.27348932416172,30.300605184675906,0.0,47.02348703356468,58.4273731470421
630.0,49.09998527164791,22.88443249210988,26.21555277953803,0.0,44.54937779637496,55.95326390985238
800.0,54.274236204554214,21.387148837423098,32.887087367131116,0.0,49.723628729281266,61.127514842758686
1000.0,60.318169804537504,21.80371896310056,38.51445084143694,0.0,55.76756232926456,67.17144844274198
1250.0,63.29663876873098,20.457542888016626,42.83909588071435,0.0,58.74603129345803,70.14991740693546
1600.0,58.004180657045794,20.036103877949234,37.96807677909656,0.0,53.453573181772846,64.85745929525027
2000.0,60.20996474021154,20.045524634914543,40.164440105297,0.0,55.65935726493859,67.06324337841602
2500.0,69.88277409394315,27.539755045515758,42.343019048427394,0.0,65.33216661867021,76.73605273214764
3150.0,66.55758319104221,24.972501138851655,41.58508205219056,0.0,62.006975715769265,73.41086182924668
4000.0,67.93712096895756,26.791106361830327,41.14601460712723,0.0,63.38651349368461,74.79039960716203
5000.0,70.98670024341624,31.454290948815135,39.5324092946011,0.0,66.4360927681433,77.83997888162072
6300.0,60.78782013170436,18.883409836446646,41.90441029525771,0.0,56.23721265643141,67.64109876990884
8000.0,60.90436063845865,20.762352830518303,40.142007807940345,0.0,56.3537531631857,67.75763927666313
10000.0,57.61487109510065,16.25408439304294,41.36078670205771,0.0,53.064263619827706,64.46814973330513
12500.0,49.25837818873842,10.077228576529562,39.181149612208856,0.0,44.70777071346547,56.11165682694289
16000.0,45.75031606363585,6.9114113594425985,38.838904704193254,0.0,41.1997085883629,52.60359470184032
20000.0,40.33513511390155,6.312950218880272,34.022184895021276,0.0,35.7845276386286,47.18841375210602
